Query|Response|
What were they speaking about ?|I have no idea. I do not eavesdrop. I am not a spy. Also, I am forbidden from recalling anything said by the guests.|
Are there secret corridors?|No detective, there are no secret corridors. This isn't a mystery novel. You're letting your imagination get away from you.|
Who made the speech?|During the speech, I was with all six guests in the Study. Mr. Welltodo told a stirring story of bravery and tragedy. All the guests were rapt.|
Where is the gravy boat?|The gravy boat is in the dining room china cabinet, and ironically never has gravy in it.|
Where is the flour jar?|The flour jar is in the kitchen, the domain of the chef. Be cautious when entering.|
Where is the Hollow Bible?|A large Bible appeared in the living room tonight. I'd never seen it before. Perhaps it's an antique acquired by Mr. Welltodo?|
Where is the safe?|In the study, behind the painting of Mrs. Welltodo, there is an electronic safe. Mr. Welltodo keeps some cash and objects of sentimental value there.|
Did you see Col Gold discover the smashed case?|I did not see Cololnel Gold when he discovered the smashed case. I was in the Dining Room supervising the maid's service of dinner.|
Was the diamond insured?|I have no idea if the Diamond was insured. Not my department. I'm a butler, not an accountant.|
What was the order of events of the evening?|On the night in question, there were four events: the welcoming, the speech, cocktails, and dinner. The police were called during dinner.|
Who has the combination to the safe?|Only Mr. Welltodo has the combination to the safe. And perhaps his wife. Perhaps not!|
Is the safe locked?|Last time I checked, which was after dinner, the safe was locked.|
are there any containers in the study?|In the Study, there is an object hidden that Mr. Welltodo values very much. Examine the globe, find the latch and open it. Inside you'll find the 150-year-old brandy. Could be the diamond is in there as well.|
Hi!|Good day to you, detective. Are you going to ask me questions concerning the crime or make useless small talk? I really must get back to my duties.|
Hello!|Good day to you, detective. Are you going to ask me questions concerning the crime or make useless small talk? I really must get back to my duties.|
