Query|Response
Who was in the Study at the start of the event? During the greeting?|I don't believe anyone was in the Study at the start of the event. All the guests were gathered in the Living Room and were then escorted to the Study by the butler.
Where was the chef during dinner?|The chef stayed in the kitchen the entire evening, except for the welcoming. I wouldn't speak to him if I were you. He can be quite grumpy when his cooking is interrupted.
Did you see professor pluot right before dinner?|It seemed to me that the Professor came in from the Living Room right before dinner. He must have been sad about the broken lamp.
Where did pluot go when he left the study?|I have no idea. It sounds like you are asking about the cocktail period, and I was in the dining room.
Did you see a person in the hallway?|Oh dear, so sorry. Can you be more specific?
What time did the guests arrive?|Our evening started at 6 pm. It was nice to see all of Mr. Welltodo's interesting friends! We were gathered in the Living Room for the Welcoming.
What time did the speech start?|The Speech was after the Welcoming and before Cocktails. I'm so sorry I missed it. I was in the Dining Room the entire night.
What time did dinner start?|Dinner followed Cocktails. Such a lovely dinner it was! The Chef truly outdid himself.
How many courses were in the meal?|There were five lovely courses: the soup, the appetizers, the main course, and then of course dessert. We never got to dessert. The police arrived and everyone was so upset.
{{any}}|I don't have the first clue as to how to answer that question. I'd love to be more helpful. Perhaps you should ask me about what exactly I saw and at exactly what time. Or, press the HELP button, up and to the right.
Have you seen the diamond?|The Diamond, since it arrived at the house, has been kept in the Study within a glass case. Before that, I believe it came from somewhere in Central America.
Did you see anything suspicious?|Suspicious? Oh my goodness, I don't even know the meaning of the word. Perhaps you should ask me about what exactly I saw and at exactly what time.
What time was dinner?|Dinner always follows cocktail time! It would be absurd to do it any other way.
What time did you serve cocktails?|The guests all had mixed drinks during the cocktail period, which was after the speech and before dinner.
Did you break the lamp?|Oh no! I did not directly break the lamp. Though I must confess that some of the blame is mine.
Do you know who broke the lamp?|During cocktails, I was in the Dining Room preparing for dinner. During that time Miss Red came to visit me in the Dining Room. Also, during cocktails, I noticed Mrs. Bluejay and the Reverend Grass...privacy filter on...in a close situation. I startled them by looking at them, which caused them to knock over and break a lamp in the Living Room.
What were they speaking about ?|I don't know what they said. I'm not allowed to remember anything the guests say. It's the Welltodo privacy policy.
Are there secret corridors?|Oh my, secret corridors would be so fun! But no. This truly is a simple house. The map you have is accurate.
Who made the speech?|I was not invited to attend the speech, sadly. I was in the Dining Room, all by myself, lonely, preparing for dinner, setting the table and such.
Where is the gravy boat?|The boat is in the dining room china cabinet. Such a funny word, as if there was a sea of gravy it could sail on?
Where is the flour jar?|The flour jar is in the kitchen. I wouldn't go in there. The chef has been grumpy ever since dinner was interrupted.
Where is the Hollow Bible?|A large antique bible, unusually large, with a clasp to hold it closed, sits on a shelf in the library. I had not seen it before tonight. It will be a dust magnet I fear.
Where is the safe?|This is secret, but I suppose it's proper to tell you. In the study, there is a safe behind the painting of Mrs. Welltodo in the Office.
Did you see Col Gold discover the smashed case?|Oh heaven's no, I did not see Colonel Gold he discovered the smashed case. I was so busy serving dinner!
Was the diamond insured?|So sorry Detective, but I wouldn't know. I'm not privvy to imformation about what's insured and what's not.
What was the order of events of the evening?|We had four lovely events planned. There was the welcoming, then the speech, then cocktails, and then dinner. The police were called during dinner. No one had dessert. How tragic.
Who has the combination to the safe?|If I were to guess, I'd say that only Mr. Welltodo has the combination to the safe. But I'm actually not sure.
Is the safe locked?|I'm sure it. I dusted in there after dinner, and the safe was closed and locked.
are there any containers in the study?|In the Study? This is a very minor secret, so shush. The globe opens. If you press on the country of England, you hear the click of a latch unlatching. Inside the globe is "the good brandy" as Mr. Welltodo calls it.
Hi!|Hello to you detective! Very pleasant to see you. What shall we discuss?
Hello!|Hello to you detective! Very pleasant to see you. What shall we discuss?
